#OTU ID	S1	S11	S13	S17	S19	S2	S23	S25	S29	S31	S35	S37	S39	S41	S45	S47	S5	S51	S55	S57	S7
Otu6	953	942	1206	459	257	860	541	568	696	287	465	813	198	236	133	87	243	983	305	486	246
Otu4	2000	675	1271	1192	2686	1874	264	373	1382	1423	643	1683	605	759	2103	2187	1197	1182	471	2506	979
Otu49	1167	233	211	245	309	395	522	781	532	473	293	441	89	92	199	212	210	870	153	344	160
Otu3	3508	1612	1222	1128	1689	1094	1137	1291	2062	1650	807	1637	973	1112	1670	1942	587	1449	890	1798	516
Otu8	1754	2340	2169	3989	1915	1089	1839	3914	1942	1675	1982	2500	654	1004	3574	2216	1272	1744	985	1432	661
Otu19	179	384	453	360	338	201	489	677	306	121	159	468	61	72	170	99	321	359	215	270	242
Otu36	90	0	2	1	0	216	0	0	23	8	2	30	15	8	20	20	0	182	17	29	0
Otu1	263	2281	3113	1962	2609	455	749	920	3005	1515	37	450	1671	2623	185	152	1597	394	1877	4480	1206
Otu25	118	197	214	299	49	163	19	55	18	22	1	5	17	6	8	5	168	27	365	42	40
Otu889	984	998	647	344	528	276	480	672	585	519	381	492	252	174	327	351	382	335	204	312	252
Otu16	514	198	196	165	617	231	238	396	351	433	178	284	184	196	502	524	277	299	118	568	209
Otu2	1690	771	428	1064	272	2709	68	151	547	1099	1191	898	185	98	1468	963	655	393	217	175	291
Otu213	20	1	5	9	5	27	7	7	4	4	3	36	2	1	16	7	5	9	2	4	1
Otu114	5	8	37	16	20	5	18	28	17	5	4	18	6	7	8	8	8	14	13	28	7
Otu15	411	178	160	328	736	130	166	237	276	194	209	463	223	244	354	207	195	268	169	498	148
Otu17	200	161	302	443	327	155	137	310	225	294	163	366	112	210	1022	699	172	223	211	337	69
Otu9	204	129	570	324	330	287	213	290	337	530	31	851	378	737	266	201	350	185	419	802	262
Otu18	73	40	64	327	369	49	79	167	60	63	375	108	121	135	335	185	77	62	139	241	58
Otu20	156	359	197	96	115	39	279	466	236	101	55	217	36	78	49	81	48	128	109	143	94
Otu130	9	1	0	2	3	5	0	0	8	1	4	52	0	1	13	13	2	1	2	10	2
Otu5	965	250	192	201	1252	391	162	207	212	208	359	831	1595	1663	575	1235	361	677	222	1033	414
Otu7	388	35	39	148	369	535	42	51	579	826	40	906	139	209	606	577	137	278	88	336	136
Otu239	11	0	0	0	0	18	0	0	0	0	0	5	0	1	2	4	0	1	0	3	0
Otu358	5	4	1	2	0	4	0	3	2	4	0	2	2	1	2	2	2	0	1	7	1
Otu11	486	552	753	1424	1187	505	822	1113	1102	524	299	1154	338	318	950	615	465	712	875	800	396
Otu99	215	130	94	9	6	33	49	133	54	86	43	53	13	5	18	19	20	70	19	28	20
Otu27	196	148	202	145	119	185	50	41	123	95	139	363	41	45	117	74	74	105	79	179	52
Otu22	194	178	73	195	88	297	19	85	100	354	71	208	48	58	177	98	235	73	142	222	108
Otu12	273	168	269	183	139	214	212	192	270	226	70	233	92	79	400	156	203	166	91	210	146
Otu229	279	210	450	80	43	215	182	201	122	73	141	294	20	15	9	10	93	192	22	39	88
Otu56	30	29	41	110	57	22	23	37	54	47	4	13	34	60	60	36	32	16	6	7	21
Otu13	271	286	200	84	99	74	196	423	190	219	81	182	41	28	67	100	56	97	132	199	46
Otu38	115	316	580	429	279	100	169	280	148	120	54	137	128	162	355	128	92	114	88	127	65
Otu67	168	138	101	134	176	60	115	156	134	104	35	88	60	68	102	98	107	66	35	172	105
Otu31	56	128	253	194	94	43	83	251	114	125	48	124	134	72	151	86	81	102	127	111	37
Otu854	5	9	10	51	15	7	9	11	4	13	8	11	3	3	14	3	7	7	3	1	2
Otu94	9	15	16	31	13	8	1	20	4	13	17	13	14	4	33	21	12	17	12	5	5
Otu14	93	188	335	321	219	73	149	282	248	88	267	118	193	65	138	65	191	54	205	217	107
Otu39	20	9	22	15	21	26	13	19	53	36	4	28	27	22	33	14	1	23	24	134	2
Otu10	469	15	48	38	62	454	4	8	122	207	19	250	131	65	1468	727	17	315	94	79	28
Otu369	2	0	1	1	1	6	0	1	1	1	1	2	0	1	2	3	1	0	0	0	0
Otu192	5	2	5	6	8	4	2	7	7	3	4	40	3	3	3	0	8	10	3	15	11
Otu115	12	2	2	16	5	6	3	4	4	11	2	5	6	3	2	5	9	5	1	5	3
Otu42	33	10	20	106	207	24	20	45	56	26	15	76	35	39	56	31	42	32	101	148	30
Otu30	82	0	12	14	17	102	3	0	63	60	195	17	26	58	248	194	3	84	11	9	4
Otu104	10	5	4	12	14	10	2	6	0	9	9	6	1	0	4	8	10	5	0	2	1
Otu944	36	38	30	43	11	45	5	43	27	56	24	95	3	1	17	8	74	16	21	33	47
Otu261	4	5	0	0	0	14	0	0	19	0	0	0	5	0	1	0	1	0	2	0	1
Otu35	75	23	53	40	75	85	18	25	107	72	45	134	48	48	51	55	47	50	52	171	28
Otu46	25	32	49	36	44	25	35	78	30	17	22	106	10	20	39	26	42	48	52	45	26
Otu47	8	30	20	119	11	1	40	89	27	27	10	24	1	1	3	1	30	3	10	5	12
Otu269	13	0	0	0	0	14	0	0	0	0	0	0	2	1	0	0	3	0	0	0	2
Otu23	116	17	33	367	143	100	35	58	44	26	39	35	117	21	101	42	50	5	91	70	33
Otu24	167	364	677	787	681	138	258	485	237	214	77	589	235	316	811	401	193	153	205	344	106
Otu456	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu110	27	22	8	2	9	43	2	7	14	4	4	9	11	7	3	2	9	5	3	17	2
Otu28	169	2	5	1	4	108	1	3	30	71	4	129	25	17	107	31	4	164	4	15	4
Otu29	104	57	57	48	36	31	96	100	55	102	18	17	6	14	60	108	13	31	21	19	8
Otu771	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Otu248	7	0	0	0	0	15	0	0	0	8	1	0	1	0	1	2	1	1	0	0	2
Otu237	1	4	2	1	2	1	0	2	8	7	2	2	0	3	2	5	4	1	0	5	6
Otu152	5	4	2	5	7	10	4	1	6	9	0	9	7	3	3	10	3	0	2	1	2
Otu853	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu33	77	49	31	75	75	91	9	33	48	81	37	212	21	27	181	134	68	67	56	58	68
Otu557	1	8	6	5	7	0	3	15	2	0	0	2	3	5	1	0	5	5	4	7	3
Otu225	1	24	58	21	6	1	22	14	2	4	0	2	4	1	2	3	8	0	10	4	11
Otu845	2	1	11	16	5	0	5	12	3	3	0	8	3	2	4	8	3	1	5	3	3
Otu466	1	0	2	0	2	1	1	2	1	2	0	1	0	1	3	5	1	1	0	2	0
Otu290	4	0	0	1	0	2	0	0	0	2	1	6	0	0	2	1	19	1	3	1	1
Otu77	34	1	4	0	0	31	1	5	0	1	5	71	4	2	22	18	0	20	14	45	3
Otu199	1	1	1	0	2	4	1	3	4	2	1	4	1	1	1	3	6	2	7	5	2
Otu103	6	10	15	64	48	6	20	65	17	14	2	18	12	12	17	8	8	25	35	33	1
Otu334	6	1	2	1	2	0	3	1	4	1	0	9	4	3	2	2	2	0	2	3	0
Otu34	45	52	165	180	183	98	52	103	103	70	49	510	63	117	172	104	133	126	199	310	94
Otu918	2	4	1	3	5	1	1	1	4	2	0	2	1	2	0	0	3	2	1	2	0
Otu61	23	18	32	61	43	32	43	65	71	35	7	59	26	35	37	31	34	24	28	51	23
Otu125	7	9	10	28	6	11	8	4	6	1	9	4	11	2	18	8	9	4	4	6	8
Otu158	14	10	7	0	0	3	0	4	7	19	9	15	0	0	3	7	1	15	2	0	1
Otu75	4	6	2	7	20	6	5	6	14	5	3	19	5	15	20	13	17	7	10	58	8
Otu843	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu441	2	0	4	0	0	1	0	0	1	1	0	1	0	1	1	1	3	1	0	0	0
Otu147	8	6	0	8	0	19	0	0	7	0	0	0	1	0	3	0	0	0	1	0	0
Otu667	7	28	77	24	22	4	14	49	37	28	4	18	17	13	11	4	9	6	40	48	7
Otu161	1	1	1	3	3	5	6	12	3	2	1	18	1	3	3	0	3	8	2	5	3
Otu193	3	5	4	6	8	2	1	3	4	1	0	9	1	1	2	6	4	2	1	3	0
Otu88	18	1	0	2	1	17	0	0	11	5	1	17	0	3	44	34	4	13	3	9	7
Otu340	3	0	1	1	1	0	0	1	4	1	0	2	0	1	4	6	3	2	0	4	0
Otu281	31	56	46	15	17	9	35	66	20	32	10	12	7	12	13	20	33	14	9	28	14
Otu436	2	2	2	0	3	2	0	4	1	0	2	3	0	0	1	1	1	2	2	1	1
Otu160	10	9	4	1	3	9	2	7	5	3	1	14	4	1	25	20	6	4	1	1	1
Otu48	48	31	10	11	5	97	8	3	93	4	1	4	3	1	19	2	11	2	16	4	9
Otu134	6	2	2	16	0	10	4	2	15	0	1	4	2	1	1	0	1	3	6	8	4
Otu69	7	22	8	4	15	13	32	66	16	15	3	8	5	2	8	7	36	6	9	22	33
Otu83	20	5	8	12	9	22	11	9	15	11	0	13	6	2	5	3	6	10	3	13	6
Otu215	6	12	3	7	9	4	2	5	23	4	2	2	14	2	7	1	10	2	0	2	4
Otu231	6	8	11	4	3	6	4	7	2	2	9	11	1	2	5	8	13	9	7	8	5
Otu238	6	3	2	4	8	1	0	12	1	3	1	2	3	3	4	3	1	2	3	1	1
Otu483	23	42	32	76	20	11	22	72	61	43	21	34	31	29	102	47	22	9	27	36	9
Otu37	24	14	40	36	32	21	8	28	15	9	20	176	7	15	14	6	46	43	53	78	27
Otu553	4	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	7	1	0	2	0
Otu54	19	11	13	17	48	11	19	24	31	20	12	26	12	11	25	43	9	8	8	7	6
Otu325	5	3	0	1	0	5	0	0	1	1	1	1	4	0	3	1	0	1	0	0	1
Otu307	9	4	2	1	2	14	0	0	4	1	0	1	1	0	0	0	2	0	0	2	0
Otu65	16	18	70	35	16	12	31	30	9	7	3	7	4	4	30	13	24	12	9	8	12
Otu53	18	14	27	111	117	18	25	52	41	25	10	71	26	33	31	9	35	28	63	66	29
