#OTU ID	S11	S13	S17	S19	S1	S23	S25	S29	S2	S31	S35	S37	S39	S41	S45	S47	S51	S55	S57	S5	S7
Otu29	2352	30	0	0	1	253	22	0	0	0	0	0	0	0	0	0	0	24	2	0	3
Otu1	30272	10381	1356	1996	13330	8226	3945	1431	743	2627	3483	38	45	1878	4127	13965	14766	7872	5610	1955	10104
Otu16	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu60	14	40	18	4	0	11	31	2	1	27	0	12	74	83	2	14	4	21	9	89	53
Otu4	2700	1511	342	731	135	2212	1879	256	9	731	180	15	18	220	188	418	273	7127	2723	739	1409
Otu5	849	698	1408	3117	132	473	744	510	9	514	12	145	1	7	30	247	1747	5989	2775	1232	1546
Otu19	85	212	294	84	127	59	84	154	13	258	37	199	301	61	76	99	95	146	39	160	154
Otu7	434	1452	1389	452	790	363	665	877	50	1142	193	1698	1966	329	696	631	615	863	232	916	911
Otu3	956	444	275	182	5254	900	864	4389	274	3761	762	1518	820	826	338	1226	10133	253	352	207	201
Otu132	5	9	12	6	0	0	7	7	0	10	0	0	20	2	0	0	1	2	1	25	14
Otu101	8	35	9	5	3	17	26	13	0	30	0	0	5	12	12	38	3	25	13	34	48
Otu68	10	22	8	6	1	6	6	12	3	32	2	0	12	25	26	35	25	17	0	37	42
Otu527	2	3	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	10	6
Otu1799	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu218	16	5	0	1	1	0	0	3	0	3	0	27	0	0	0	0	1	0	0	17	10
Otu330	9	19	10	2	7	3	8	5	1	16	0	11	3	0	4	9	13	9	0	17	8
Otu40	70	10	30	41	287	14	26	231	27	10	3	18	16	32	98	46	10	15	10	42	62
Otu247	3	14	0	2	6	2	7	4	0	5	0	6	14	3	5	4	6	6	0	8	2
Otu395	20	0	0	0	0	2	0	10	0	7	0	0	0	0	2	4	0	0	0	30	18
Otu6	343	1176	1335	1510	126	503	611	18	12	53	14	2	12	155	1840	3774	300	668	1266	1010	888
Otu718	3	0	0	1	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	1
Otu229	4	29	19	5	16	11	10	5	1	21	4	0	4	7	15	15	9	11	4	23	11
Otu180	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Otu671	4	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu83	22	63	33	17	41	16	19	16	1	24	7	14	7	5	27	23	53	51	13	21	28
Otu953	2	0	0	0	1	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	4
Otu91	34	31	7	25	129	13	12	3	0	4	1	0	0	20	71	70	36	62	35	12	22
Otu20	33	247	55	22	15	99	204	33	0	393	2	0	178	574	14	37	34	225	92	214	123
Otu483	48	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu328	2	12	0	5	0	1	2	6	0	9	0	0	4	16	0	3	0	9	4	2	1
Otu493	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu100	2	4	0	0	0	0	0	1	0	4	0	0	0	2	117	76	4	1	0	0	0
Otu158	7	17	2	0	0	12	4	12	1	0	2	16	0	0	8	28	5	0	0	4	5
Otu51	30	119	123	40	81	27	38	39	7	89	14	31	97	30	35	53	40	62	20	90	46
Otu243	39	0	0	2	0	0	0	0	0	0	0	2	0	0	19	0	0	0	0	0	0
Otu191	6	19	10	2	15	3	6	11	1	11	4	7	9	1	4	5	9	5	0	15	6
Otu8	51	13	465	184	356	78	276	419	50	838	27	54	147	1011	2006	4734	1356	258	211	632	1169
Otu319	13	16	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0
Otu113	3	8	7	12	3	3	6	0	0	2	2	0	3	173	4	5	0	2	3	0	1
Otu25	59	215	208	39	80	28	54	82	8	212	19	222	277	43	87	82	60	105	29	126	109
Otu66	21	6	15	2	5	0	0	17	0	22	0	27	87	94	15	12	6	56	77	84	51
Otu114	17	0	48	5	1	0	0	11	0	0	1	0	81	9	0	0	1	17	2	14	0
Otu46	28	137	1	3	1	43	47	32	0	30	2	59	22	21	29	15	32	45	12	45	60
Otu48	11	36	21	68	21	2	2	17	0	17	38	1	13	2	18	75	5	97	59	96	75
Otu106	4	7	4	13	10	1	1	0	0	0	2	0	0	82	1	2	14	37	1	9	7
Otu27	50	174	162	36	91	24	53	104	4	203	16	131	194	39	88	64	85	130	24	133	81
Otu207	16	11	0	0	4	1	10	3	0	5	0	1	2	1	4	2	19	7	0	9	1
Otu806	2	4	0	1	0	0	0	0	0	4	0	1	0	0	3	2	0	0	0	3	2
Otu39	87	316	309	76	142	66	98	174	13	231	41	442	419	62	90	125	102	124	46	183	167
Otu84	10	213	1	5	0	11	38	1	0	3	0	38	7	3	2	7	0	45	15	0	4
Otu37	12	100	15	11	28	10	16	30	3	6	3	125	45	48	17	14	26	185	35	147	51
Otu151	13	16	0	5	0	30	31	2	0	32	0	0	0	3	4	8	4	11	6	12	5
Otu56	8	45	5	52	24	23	12	3	0	7	3	0	1	145	8	17	82	129	25	79	104
Otu154	8	43	40	6	29	7	21	29	1	43	5	38	30	14	11	16	12	15	15	32	29
Otu11	100	150	222	176	96	99	45	219	18	1187	388	138	52	67	85	994	445	24	3	728	471
Otu115	3	17	8	6	4	10	16	18	0	12	0	70	0	4	0	0	35	45	9	27	11
Otu36	22	76	35	16	13	16	48	43	1	90	6	608	115	60	15	14	114	141	109	174	114
Otu62	29	112	104	27	53	36	29	33	3	81	20	8	27	23	42	54	17	66	19	62	51
Otu515	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu223	5	9	0	0	9	0	10	12	0	12	0	64	0	0	1	0	3	5	2	6	0
Otu1950	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu42	58	234	213	50	131	57	59	41	11	121	33	18	67	43	110	110	84	137	21	163	119
Otu1189	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu54	2	58	0	3	138	55	0	0	0	1	0	107	0	3	93	0	0	0	0	2	0
Otu336	1	3	0	0	0	0	9	0	0	4	0	0	1	6	0	0	1	3	3	4	1
Otu265	35	3	1	0	0	0	0	0	0	0	0	0	0	0	54	1	0	1	0	0	0
Otu296	9	0	0	3	0	0	0	2	0	0	0	18	0	0	0	0	0	0	0	1	0
Otu599	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0
Otu53	4	14	15	32	14	9	15	0	0	3	0	2	266	164	1	1	0	15	1	61	57
Otu1003	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Otu680	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu86	4	19	0	2	1	1	1	3	0	4	0	72	18	2	16	16	18	9	1	10	1
Otu226	4	36	3	3	4	6	12	0	0	8	0	9	0	0	0	2	3	8	0	35	13
Otu2148	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu248	2	9	0	1	0	1	1	2	0	3	0	0	0	10	3	2	1	22	9	10	8
Otu87	5	22	42	20	27	3	18	37	0	65	5	46	51	14	15	16	27	24	8	30	25
Otu18	92	428	317	117	166	83	150	276	7	357	29	451	556	90	200	189	174	265	70	255	198
Otu78	6	18	0	0	0	2	19	3	0	0	0	0	0	0	0	0	0	125	26	0	16
Otu162	4	0	0	1	0	0	0	30	0	22	0	87	0	0	113	102	0	9	0	7	1
Otu61	9	17	9	10	3	8	28	25	0	28	1	46	23	24	8	49	26	105	370	50	30
Otu52	120	136	1	1	0	0	14	13	0	128	0	0	2	12	3	70	0	7	41	7	3
Otu225	1	10	1	2	0	6	4	9	0	0	0	1	5	7	4	2	5	1	2	16	5
Otu1495	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu30	16	28	76	112	19	37	33	16	2	107	34	7	1	15	54	96	34	100	101	164	201
Otu486	3	7	0	0	3	5	3	0	0	1	0	0	0	0	2	0	0	0	0	2	0
Otu577	7	57	12	2	17	0	2	0	1	4	0	0	0	0	1	10	0	4	0	0	3
Otu1930	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu63	49	134	113	42	63	21	37	41	3	110	15	26	74	25	54	63	38	76	11	84	61
Otu175	12	62	1	9	1	0	0	0	0	0	0	0	8	62	2	3	0	14	2	7	3
Otu850	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Otu2091	1	3	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu274	6	48	23	11	15	5	17	17	2	36	3	31	39	7	11	11	7	12	2	18	23
Otu116	3	8	3	5	0	4	23	5	0	1	1	2	0	33	10	3	53	23	4	13	11
Otu47	10	44	0	3	20	16	33	24	4	21	3	41	5	13	18	20	30	50	17	88	91
Otu379	1	4	0	1	0	1	1	0	0	0	0	0	0	6	0	3	0	5	0	2	4
Otu1578	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1322	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu152	8	38	62	15	27	7	19	14	1	38	8	15	37	17	10	21	19	34	2	28	24
Otu55	4	0	46	6	38	0	0	3	5	150	2	136	62	52	81	273	2	4	180	25	10
Otu125	12	66	42	14	40	11	18	11	0	46	8	8	17	19	37	37	22	25	14	47	36
Otu171	6	8	3	14	15	4	9	6	1	4	2	10	7	0	7	0	29	6	5	49	20
Otu478	6	3	1	1	0	11	5	7	0	9	0	7	1	17	2	9	13	0	1	6	3
